id,name,performer,price,time_start,time_end,venue,address,city,postcode,latitude,longitude,tags
139684,Claire Maguire,,£10,"Mar 26, 2011 8:00 PM","Mar 26, 2011 11:00 PM",King Tut's,272a St Vincent Street,Glasgow,G2 5RL,55.862698,-4.265206,Music
140021,"Lords of Bastard, Giant Monster Attack",Dunt,£5,"Mar 26, 2011 8:00 PM","Mar 26, 2011 11:00 PM",Bannerman's,212 Cowgate,Edinburgh,EH1 1NQ,55.94875,-3.18749,"Music, rock"
140405,Richard Herring: Christ On A Bike,MGICF,£15,"Mar 26, 2011 8:00 PM","Mar 26, 2011 10:00 PM",Oran Mor,731-735 Great Western Road,Glasgow,G12 8QX,55.877419,-4.289182,Comedy
140584,The Unusual Suspects,MGICF,£5,"Mar 26, 2011 8:00 PM","Mar 26, 2011 10:00 PM",Buff Club,142 Bath Lane,Glasgow,G2 4RH,55.864002,-4.261795,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140606,The Comedy Supper Club,MGICF,£10 (£8),"Mar 26, 2011 8:00 PM","Mar 26, 2011 10:00 PM",Arta,The Old Cheesemarket,Glasgow,G1 1PA,55.857887,-4.243193,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140624,£5 Festival Funnies,MGICF,£5,"Mar 26, 2011 8:00 PM","Mar 26, 2011 10:00 PM",Maggie May's,60 Trongate,Glasgow,G1 5EP,55.857128,-4.24615,"Comedy, glasgow comedy festival"
140693,Coalition of Comedy: Tears of the Beer-Affected,MGICF,£tbc,"Mar 26, 2011 8:00 PM","Mar 26, 2011 10:00 PM",Flying Duck,142 Renfield Street,Glasgow,G2 3AU,55.865494,-4.254977,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140701,Ha Ha Half Price Comedy Southside,MGICF,£7 (£6),"Mar 26, 2011 8:00 PM","Mar 26, 2011 10:00 PM",Shed,Langside Avenue,Glasgow,G41 2QS,55.8294723,-4.2816032,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140714,Ha Ha Half Price Comedy Club,MGICF,£7 (£6),"Mar 26, 2011 8:00 PM","Mar 26, 2011 10:00 PM",Uisge Beatha,232-246 Woodlands Road,Glasgow,G3 6ND,55.871487,-4.277128,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140792,Viva Stereo,"Mike Nisbet, Ziggy Campbell, OnTheFly DJs",Free,"Mar 26, 2011 8:00 PM","Mar 27, 2011 12:45 AM",Carter's Bar,185 Morrison Street,Edinburgh,EH3 8DZ,55.946041,-3.21332,Music
140060,VEGAS!,,£6 (£5),"Mar 26, 2011 8:30 PM","Mar 27, 2011 2:00 AM",Voodoo Rooms,19a West Register Street,Edinburgh,EH2 2AA,55.953743,-3.190593,Clubs
